RequirementName,Overflow,Memory corruption,SQL injection,XSS,Directory Traversal,File inclusion,CSRF,XXE,SSRF,Open redirect,Input validation,Code execution,Bypass,Privilege Escalation,Denial of Service,Information Leak
"Requirement that for each access to restricted resources, the user must have the corresponding authorizations",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"Requirement that for each access to restricted resources, the user should be authenticated",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Requirement that organization shall use mechanisms to protect clinical IoT devices, data and humans",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that organizations shall asses the state of their CIoT systems, assets, domains and vulnerabilities regularly",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Requirement that the controller shall communicate to the data subject, the right to withdraw consent when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the controller shall give to the data subject, the collected data's storage time when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the controller shall give to the data subject, the controller's contact information when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the controller shall give to the data subject, the data protection officer's contact information when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the controller shall give to the data subject, the purpose of the data collection when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the controller shall give to the data subject, the recipients of the collected data when collecting data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the development team shall review the THREAT MODEL annually for released PRODUCTS and update it as needed to address new THREATS, even if the design remains unchanged",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Requirement that the MANUFACTURER shall apply dynamic SECURITY testing, like fuzz testing, to detect flaws such as memory leaks and unauthorized access to shared memory",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Requirement that the MANUFACTURER shall conduct an architectural review of the health software to assess behavior under adverse conditions, covering software item segregation, secure design practices, and potential security flaws in the architecture",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"Requirement that the MANUFACTURER shall conduct ATTACK SURFACE testing to identify ingress and egress points, weak ACLs, exposed ports, and services with elevated privileges",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"Requirement that the MANUFACTURER shall conduct design reviews to identify, characterize, and track to closure SECURITY requirements that were not adequately addressed by the design",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
